Time (s),Temperature (°C)
0,48.4
4,49.1
9,55.4
12,65.2
15,74.6
17,82.8
20,90.6
22,98
25,103
28,109
30,115
33,119
35,124
38,128
41,132
43,135
46,139
51,137
53,133
56,130
59,127
64,130
67,135
69,139
72,141
75,139
77,135
80,132
82,130
88,133
90,138
93,142
96,144
98,142
101,139
