Time (s),Temperature (°C)
0,31.9
2,32.3
5,32.7
7,33.5
9,39.7
13,48.7
15,59.3
17,69.5
21,77.3
23,84.4
26,88.3
28,86.7
31,84
34,81.7
36,78.9
39,77.4
41,75.4
44,73.5
47,71.9
49,71.5
52,73.1
54,80.1
57,88
60,92.3
62,91.5
65,89.9
68,88
70,85.2
73,83.3
75,81.7
78,80.6
81,78.6
83,77.8
86,75.9
88,75.1
91,73.9
94,72.4
99,75.5
100,82.2
