Time (s),Temperature (°C)
0,36.3
2,35.9
5,36.3
8,38.7
10,45.7
13,55.9
16,66.1
18,74.7
21,83.3
23,90
26,95.8
29,97.8
31,97
34,94.3
36,91.1
39,89.2
42,86.5
44,85.3
47,86.9
49,92.4
52,98.6
55,102
60,99.8
63,96.7
65,94.7
68,92.8
70,90.8
73,88.9
75,87.7
78,86.2
81,88.5
83,94.8
86,101
89,104
91,103
94,102
97,100
99,97.1
