Time (s),Temperature (°C)
0,44.1
7,46
10,54.3
13,64.5
16,73.8
18,81.7
21,90.7
23,96.9
26,102
28,108
31,113
34,118
36,122
39,126
41,127
44,125
47,121
50,118
52,115
55,111
57,113
60,117
62,122
65,127
68,129
70,128
73,125
76,122
78,119
81,116
83,115
89,120
91,124
94,128
96,126
99,123
